Species,Group,X,Y,SpeciesIdx
Chicken,1,-306.19531,-309.904809,1
Chicken,2,-1328.00345,1147.55745,1
Chicken,3,-360.24477,-213.898782,1
Chicken,4,-48.94458,-21.24812,1
Chicken,5,-708.08068,-146.209606,1
Chicken,6,-265.99846,-170.151187,1
Chicken,7,300.67175,-746.825686,1
Chicken,8,-148.19845,-98.920045,1
Chicken,9,-620.86441,81.343593,1
Chicken,10,-267.4551,-82.51937,1
Chicken,11,-508.10032,-55.863046,1
Chicken,12,-345.30184,-323.531736,1
Chicken,13,-259.51622,-176.42644,1
Chicken,14,-614.39491,180.631697,1
Fish,1,91.24658,91.923207,2
Fish,2,-173.30962,-67.866067,2
Fish,4,435.95748,306.14275,2
Fish,3,298.55573,226.441316,2
Fish,5,260.74573,226.079814,2
Fish,6,1492.1672,922.668931,2
Fish,7,501.3553,150.929844,2
Fish,8,-67.90616,-8.030177,2
Fish,9,355.04639,404.946315,2
Fish,10,1556.34719,162.027568,2
Fish,11,308.32073,514.110083,2
Fish,12,578.75437,-177.619206,2
Fish,13,603.34928,-362.823351,2
Fish,14,580.43143,-721.385674,2
Fish,15,664.90273,58.649867,2
Fish,16,710.60944,364.20204,2
Fish,17,1790.8037,-479.030006,2
Mice,1,-452.26735,667.798454,3
Mice,2,-551.67415,-78.097718,3
Mice,3,-316.37167,-192.127545,3
Mice,4,-18.95318,1.910727,3
Mice,5,-335.40911,-99.720065,3
Mice,6,-243.22077,227.742598,3
Mice,7,-595.38111,-337.98583,3
Mice,8,-272.20111,89.732035,3
Mice,9,-319.22933,-153.901697,3
Mice,10,-366.263,-399.467049,3
Mice,11,113.07895,192.805162,3
Mice,12,-274.87087,-324.413469,3
Mice,13,-338.36777,-147.398224,3
Mice,14,-535.62028,-122.278546,3